key,module,page,component,slot,text,notes,status
shared.placeholder.short,shared,*,*,placeholder_short,--,,active
shared.unit.percent,shared,*,*,unit_percent,%,,active
shared.unit.thousand_abbrev,shared,*,*,unit_thousand_abbrev,K,,active
shared.unit.million_abbrev,shared,*,*,unit_million_abbrev,M,,active
shared.unit.billion_abbrev,shared,*,*,unit_billion_abbrev,B,,active
shared.data_source,shared,*,*,label,Data source: {{source}},,active
shared.error.prefix,shared,*,*,label,Error: {{error}},,active
shared.status.unsynced,shared,*,*,status,—,,active
error.boundary.title,shared,*,ErrorBoundary,title,Something went wrong,,active
error.boundary.subtitle,shared,*,ErrorBoundary,subtitle,This view failed to render,,active
error.boundary.hint,shared,*,ErrorBoundary,hint,"Open the console, then reload the page",,active
error.boundary.no_details,shared,*,ErrorBoundary,details,No error details,,active
error.boundary.action.reload,shared,*,ErrorBoundary,action_reload,Reload,,active
identity_card.rank_label,ui,IdentityCard,IdentityCard,rank_label,Started,,active
identity_card.streak_label,ui,IdentityCard,IdentityCard,streak_label,Active days,,active
identity_card.rank_placeholder,ui,IdentityCard,IdentityCard,rank_placeholder,—,,active
identity_card.streak_value,ui,IdentityCard,IdentityCard,streak_value,{{days}} DAY,,active
dashboard.core_index.collapse_label,dashboard,DashboardPage,UsagePanel,toggle,▾,,active
dashboard.core_index.expand_label,dashboard,DashboardPage,UsagePanel,toggle,▸,,active
dashboard.core_index.collapse_aria,dashboard,DashboardPage,UsagePanel,toggle_aria,Collapse model breakdown,,active
dashboard.core_index.expand_aria,dashboard,DashboardPage,UsagePanel,toggle_aria,Expand model breakdown,,active
usage.summary.total,ui,UsagePanel,UsagePanel,summary_label_total,Total tokens,,active
usage.summary.updated_at,ui,UsagePanel,UsagePanel,summary_updated_at,Updated {{timestamp}},,active
usage.metric.total,ui,UsagePanel,UsagePanel,metric_total,Total,,active
usage.metric.input,ui,UsagePanel,UsagePanel,metric_input,Input,,active
usage.metric.output,ui,UsagePanel,UsagePanel,metric_output,Output,,active
usage.metric.cached_input,ui,UsagePanel,UsagePanel,metric_cached_input,Cached input,,active
usage.metric.reasoning_output,ui,UsagePanel,UsagePanel,metric_reasoning_output,Reasoning output,,active
usage.button.refresh,ui,UsagePanel,UsagePanel,button_refresh,Refresh,,active
dashboard.rolling.title,ui,RollingUsagePanel,RollingUsagePanel,title,Recent Activity,,active
dashboard.rolling.last_7d,ui,RollingUsagePanel,RollingUsagePanel,label_last_7d,Last 7 days,,active
dashboard.rolling.last_30d,ui,RollingUsagePanel,RollingUsagePanel,label_last_30d,Last 30 days,,active
dashboard.rolling.avg_active_day,ui,RollingUsagePanel,RollingUsagePanel,label_avg_active_day,Daily average,,active
dashboard.projects.title,ui,ProjectUsagePanel,ProjectUsagePanel,title,Project Usage,,active
dashboard.projects.tokens_label,ui,ProjectUsagePanel,ProjectUsagePanel,tokens_label,Tokens,,active
dashboard.projects.stars_label,ui,ProjectUsagePanel,ProjectUsagePanel,stars_label,STAR,,active
dashboard.projects.limit_label,ui,ProjectUsagePanel,ProjectUsagePanel,limit_label,Show,,active
dashboard.projects.limit_aria,ui,ProjectUsagePanel,ProjectUsagePanel,limit_aria,Select repository limit,,active
dashboard.projects.limit_top_3,ui,ProjectUsagePanel,ProjectUsagePanel,limit_top_3,TOP 3,,active
dashboard.projects.limit_top_6,ui,ProjectUsagePanel,ProjectUsagePanel,limit_top_6,TOP 6,,active
dashboard.projects.limit_top_10,ui,ProjectUsagePanel,ProjectUsagePanel,limit_top_10,TOP 10,,active
dashboard.projects.empty,ui,ProjectUsagePanel,ProjectUsagePanel,empty,No public repositories,,active
dashboard.projects.unattributed,ui,ProjectUsagePanel,ProjectUsagePanel,unattributed,Not counted per repo:,Prefix for the list of sources with usage but no project attribution,active
dashboard.projects.unpriced,ui,ProjectUsagePanel,ProjectUsagePanel,unpriced,no model recorded,Shown instead of a cost when every row for this repo predates per-model project attribution,active
dashboard.plan_value.title,ui,PlanValueCard,PlanValueCard,title,Plan vs list price,,active
dashboard.plan_value.empty,ui,PlanValueCard,PlanValueCard,empty,Enter what you pay for a plan to compare it against list price.,Shown when no provider has a plan price set,active
dashboard.plan_value.headline,ui,PlanValueCard,PlanValueCard,headline,{{plan}}/mo of plans · {{list}} of usage at API list price,"Deliberately neutral: no ""saved"" or ""wasted""",active
dashboard.plan_value.row,ui,PlanValueCard,PlanValueCard,row,{{plan}}/mo · {{list}} at list price,Per-provider line,active
dashboard.plan_value.floor_note,ui,PlanValueCard,PlanValueCard,floor_note,At least this much — some usage could not be priced ({{models}}).,Shown when any model is unpriced or fuzzy-matched,active
dashboard.plan_value.disclaimer,ui,PlanValueCard,PlanValueCard,disclaimer,List-price-equivalent for this window — not a bill you would have paid.,Guards against reading the number as a counterfactual,active
dashboard.plan_value.input_aria,ui,PlanValueCard,PlanValueCard,input_aria,Monthly plan price for {{source}},,active
dashboard.cost_breakdown.title,ui,CostAnalysisModal,CostAnalysisModal,title,Cost Breakdown,,active
dashboard.cost_breakdown.total_label,ui,CostAnalysisModal,CostAnalysisModal,total_label,Estimated Total Cost,,active
dashboard.cost_breakdown.close,ui,CostAnalysisModal,CostAnalysisModal,close_label,Close,,active
trend.monitor.label,ui,TrendMonitor,TrendMonitor,label,Usage Trend,,active
trend.zoom.open_aria,ui,TrendMonitor,TrendMonitor,zoom_open_aria,Expand to full screen,,active
trend.zoom.close_aria,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_close_aria,Close,,active
trend.zoom.badge,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_badge,Trend Insight,,active
trend.zoom.desc,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_desc,"Hover any bar to inspect tokens, cost and conversations. Switch granularity to drill from months down to half-hours.",,active
trend.zoom.insight_badge,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_badge,Insight,,active
trend.zoom.tooltip.cost,ui,TrendMonitor,TrendMonitor,zoom_tooltip_cost,cost,,active
trend.zoom.tooltip.conversations,ui,TrendMonitor,TrendMonitor,zoom_tooltip_conversations,conversations,,active
trend.zoom.stats.tokens,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_tokens,Total Tokens,,active
trend.zoom.stats.cost,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_cost,Total Cost,,active
trend.zoom.stats.conversations,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_conversations,Conversations,,active
trend.zoom.stats.peak,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_peak,Peak Bucket,,active
trend.zoom.gran.aria,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_aria,Granularity,,active
trend.zoom.gran.30min,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_30min,30 min,,active
trend.zoom.gran.day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_day,Day,,active
trend.zoom.gran.month,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_month,Month,,active
trend.zoom.prev_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_prev_day,Previous day,,active
trend.zoom.next_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_next_day,Next day,,active
trend.zoom.loading,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_loading,Loading…,,active
trend.zoom.pick_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_pick_day,Pick a day,,active
trend.zoom.pick_range,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_pick_range,Pick a date range,,active
trend.zoom.insight.empty,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_empty,A quiet stretch. Not a single token crossed the wire.,,active
trend.zoom.insight.calm,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_calm,"Light touch. The model mostly sat on standby, waking only when you reached for it.",,active
trend.zoom.insight.steady,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_steady,"A steady rhythm across {{active}} active stretches, cresting at {{peak}}. The kind of pace that ships things without drama.",,active
trend.zoom.insight.heavy,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_heavy,"Heavy lifting: {{active}} stretches running hot, peaking at {{peak}}. This is output from someone who manufactures momentum instead of waiting for it.",,active
